"","MonitoringPlace","SpeciesName","year","month","MonthSum","Cum.Sum"
"50","Alfred River","Silver Beech",2014,2,0,0
"51","Alfred River","Silver Beech",2014,3,117,117
"52","Alfred River","Silver Beech",2014,4,95,212
"53","Alfred River","Silver Beech",2014,6,1,213
"54","Alfred River","Silver Beech",2014,7,0,213
"68","Andrews","Silver Beech",2014,2,0,0
"69","Andrews","Silver Beech",2014,5,0,0
"74","Arthur","Silver Beech",2014,5,56,56
"75","Arthur","Silver Beech",2014,7,7,63
"116","Blue Mountains","Silver Beech",2014,3,1389,1389
"117","Blue Mountains","Silver Beech",2014,5,2862,4251
"118","Blue Mountains","Silver Beech",2014,7,1048,5299
"156","Bold Peak","Silver Beech",2014,3,1,1
"157","Bold Peak","Silver Beech",2014,5,16,17
"200","Borer Flat","Silver Beech",2014,3,139,139
"201","Borer Flat","Silver Beech",2014,5,130,269
"202","Borer Flat","Silver Beech",2014,6,45,314
"245","Borer Toe","Silver Beech",2014,3,0,0
"246","Borer Toe","Silver Beech",2014,5,0,0
"247","Borer Toe","Silver Beech",2014,6,0,0
"264","Boyd Creek","Silver Beech",2014,2,2,2
"265","Boyd Creek","Silver Beech",2014,6,366,368
"321","Caples","Silver Beech",2014,3,16,16
"322","Caples","Silver Beech",2014,5,179,195
"377","Clinton River","Silver Beech",2014,5,339,339
"378","Clinton River","Silver Beech",2014,7,49,388
"406","Cromby Basin","Silver Beech",2014,2,10,10
"423","Deep Creek","Silver Beech",2014,3,63,63
"424","Deep Creek","Silver Beech",2014,4,496,559
"425","Deep Creek","Silver Beech",2014,5,215,774
"427","Dusky ","Silver Beech",2014,6,42,42
"444","Eglinton","Silver Beech",2014,4,15,15
"445","Eglinton","Silver Beech",2014,6,80,95
"496","Flora Stream","Silver Beech",2014,3,1,1
"497","Flora Stream","Silver Beech",2014,5,1540,1541
"509","Glowworm caves","Silver Beech",2014,6,85,85
"511","Hanging Valley","Silver Beech",2014,6,985,985
"586","Hawdon","Silver Beech",2014,3,0,0
"587","Hawdon","Silver Beech",2014,4,0,0
"588","Hawdon","Silver Beech",2014,6,0,0
"597","Hunters Hill","Silver Beech",2014,3,39,39
"598","Hunters Hill","Silver Beech",2014,4,173,212
"599","Hunters Hill","Silver Beech",2014,5,1733,1945
"600","Hunters Hill","Silver Beech",2014,6,958,2903
"601","Hunters Hill","Silver Beech",2014,7,68,2971
"609","Iris Burn","Silver Beech",2014,4,1350,1350
"610","Iris Burn","Silver Beech",2014,6,2093,3443
"616","Kepler","Silver Beech",2014,6,6,6
"654","Knobs Flat","Silver Beech",2014,4,614,614
"655","Knobs Flat","Silver Beech",2014,6,364,978
"707","Lewis Pass","Silver Beech",2014,2,0,0
"708","Lewis Pass","Silver Beech",2014,3,0,0
"709","Lewis Pass","Silver Beech",2014,4,0,0
"710","Lewis Pass","Silver Beech",2014,5,0,0
"711","Lewis Pass","Silver Beech",2014,6,0,0
"712","Lewis Pass","Silver Beech",2014,7,0,0
"744","Mt Luxmore","Silver Beech",2014,6,829,829
"794","North Branch","Silver Beech",2014,4,200,200
"795","North Branch","Silver Beech",2014,5,561,761
"829","Orongorongo Valley","Silver Beech",2014,3,0,0
"830","Orongorongo Valley","Silver Beech",2014,4,0,0
"831","Orongorongo Valley","Silver Beech",2014,5,0,0
"854","Patsy Creek","Silver Beech",2014,6,942,942
"892","Plato Creek","Silver Beech",2014,4,2,2
"893","Plato Creek","Silver Beech",2014,6,8,10
"923","Poteriteri","Silver Beech",2014,2,8,8
"985","Poulter","Silver Beech",2014,3,60,60
"986","Poulter","Silver Beech",2014,5,115,175
"1083","Rough Creek","Silver Beech",2014,2,0,0
"1084","Rough Creek","Silver Beech",2014,3,1,1
"1085","Rough Creek","Silver Beech",2014,4,30,31
"1086","Rough Creek","Silver Beech",2014,5,104,135
"1087","Rough Creek","Silver Beech",2014,6,0,135
"1088","Rough Creek","Silver Beech",2014,7,0,135
"1130","Routeburn","Silver Beech",2014,3,0,0
"1131","Routeburn","Silver Beech",2014,4,2,2
"1132","Routeburn","Silver Beech",2014,5,37,39
"1133","Routeburn","Silver Beech",2014,6,21,60
"1138","Sinbad Valley","Silver Beech",2014,5,45,45
"1139","Sinbad Valley","Silver Beech",2014,7,0,45
"1212","South Branch","Silver Beech",2014,3,0,0
"1213","South Branch","Silver Beech",2014,4,180,180
"1214","South Branch","Silver Beech",2014,5,1223,1403
"1243","Southern Ruapehu","Silver Beech",2014,3,243,243
"1244","Southern Ruapehu","Silver Beech",2014,5,624,867
"1296","Station Creek","Silver Beech",2014,2,0,0
"1297","Station Creek","Silver Beech",2014,3,3,3
"1298","Station Creek","Silver Beech",2014,4,9,12
"1299","Station Creek","Silver Beech",2014,5,269,281
"1300","Station Creek","Silver Beech",2014,6,1,282
"1301","Station Creek","Silver Beech",2014,7,1,283
"1359","Sylvan","Silver Beech",2014,3,98,98
"1360","Sylvan","Silver Beech",2014,5,22,120
"1361","Sylvan","Silver Beech",2014,6,16,136
"1394","Takahe Valley","Silver Beech",2014,4,0,0
"1395","Takahe Valley","Silver Beech",2014,6,2,2
"1406","Tararua Range","Silver Beech",2014,2,2,2
"1444","Thisbe Stream","Silver Beech",2014,3,152,152
"1445","Thisbe Stream","Silver Beech",2014,4,1710,1862
"1446","Thisbe Stream","Silver Beech",2014,5,1722,3584
"1447","Thisbe Stream","Silver Beech",2014,6,682,4266
"1448","Thisbe Stream","Silver Beech",2014,7,103,4369
"1458","Toetoe Flat, Rafters","Silver Beech",2014,6,4306,4306
"1504","Turret Head","Silver Beech",2014,3,0,0
"1505","Turret Head","Silver Beech",2014,5,0,0
"1506","Turret Head","Silver Beech",2014,6,2,2
"1511","Upper Hollyford","Silver Beech",2014,6,156,156
"1512","Upper Hollyford","Silver Beech",2014,7,12,168
"1517","Waikaia","Silver Beech",2014,4,221,221
"1518","Waikaia","Silver Beech",2014,7,27,248
"1523","Wainui Stream","Silver Beech",2014,3,1,1
"1524","Wainui Stream","Silver Beech",2014,4,104,105
"1525","Wainui Stream","Silver Beech",2014,5,1095,1200
"1526","Wainui Stream","Silver Beech",2014,6,239,1439
"1556","Waitutu EWM","Silver Beech",2014,2,0,0
"1586","Waitutu MP1","Silver Beech",2014,2,12,12
"1616","Waitutu SBA","Silver Beech",2014,2,114,114
"1644","Waitutu WWA","Silver Beech",2014,3,40,40
"1685","Walker Creek","Silver Beech",2014,4,127,127
"1686","Walker Creek","Silver Beech",2014,6,129,256
"1705","Wangapeka Track","Silver Beech",2014,3,130,130
"1706","Wangapeka Track","Silver Beech",2014,6,112,242
"1709","West Matukituki","Silver Beech",2014,5,1359,1359
